,0,1,2,3,4
0,339,445,"['""In early February -- it seems like a long time ago -- in early February, we transported nearly 18 tons of medical supplies provided by Samaritan\'s Purse, the Church of Jesus Christ of Latter-day Saints and others to Wuhan,"" Secretary of State Mike Pompeo said Tuesday, an apparent response to criticism of that shipment of aid.']",['Mike Pompeo'],Pennsylvania State University
0,348,455,"['""It could open up some eyes or a different way of thinking about employment,"" said Ravi Anupindi, professor of technology and operations and faculty director for the Center for Value Chain Innovation at the University of Michigan\'s Ross School of Business.']",['Ravi Anupindi'],University of Michigan
0,352,459,"[""This addresses labor market frictions and eliminates elements that make it harder or more costly for employers to find workers, said economist Harry J. Holzer, a professor at Georgetown University's McCourt School of Public Policy.""]",['Harry J. Holzer'],Georgetown University
0,365,488,"['""Medical history has so many examples of treatments that people had good experiences with, and people got better, and they had great confidence in the treatment, and years later when a randomized trial was done, it turned out no better than placebo,"" said Plowe, the Duke expert.']",['Plowe'],Duke University
0,367,490,"['""People understand what a war means, what the consequences of a war mean in terms of pain and loss and death,"" said Dr. Leana Wen, a visiting professor of health policy and management at the George Washington University Milken School of Public Health.']",['Leana Wen'],George Washington University
0,382,506,"['""We are incredibly grateful to Dolly (@DollyParton) for believing in our doctors and researchers as we work hard to fight COVID-19,"" Vanderbilt University Medical Center said in a statement, which also provided a donation link']",['Dolly'],Vanderbilt University
0,391,518,['Milstone said he has been modeling what Tennessee may need on projections on the demand for hospital usage in each state by the Institute for Health Metrics and Evaluation at the University of Washington.'],['Milstone'],University of Washington
0,459,598,"['It\'s a big gap -- clearly twice as many women as men were washing their hands,"" said Susan Michie, health psychology professor and director of the Centre for Behaviour Change at the Department of Clinical, Educational and Health Psychology at University College London.']",['Susan Michie'],University College London
0,460,601,"[""A small piece of good news: There are more options for those who have to buy health insurance on their own these days, thanks to the Affordable Care Act\n\nHere's where to look:\n\nJust know that there's only a 60-day window to take advantage of this special enrollment period once their employer coverage ends, said Sabrina Corlette, co-director of the Center on Health Insurance Reforms at Georgetown University.""]",['Sabrina Corlette'],Georgetown University
0,486,628,"[""If that's not possible, use the next best thing, said Tom Dening, who directs the Centre for Old Age and Dementia at the University of Nottingham in the UK.""]",['Tom Dening'],University of Nottingham
0,487,629,"['""If the death is sudden or unexpected, and we did not get a chance to tell them how much they meant to us and how they changed our life for the better, we suffer even more,"" said Barbara Sahakian, a professor of clinical neuropsychology at the University of Cambridge.']",['Barbara Sahakian'],University of Cambridge
0,492,634,"['""During crises, the window of what governments can get away with without pushback from the public tends to expand,"" says Brian Klaas, assistant professor of global politics at University College London.']",['Brian Klaas'],University College London
0,493,635,"['""Democratic leaders have to avoid any statement criticizing the actions of other leaders that might downplay the significance of the pandemic,"" says Nic Cheeseman, professor of democracy at the University of Birmingham.']",['Nic Cheeseman'],University of Birmingham
0,510,660,"['""It\'s just another manifestation of this very terrific polarization, the metros versus the nonmetro areas,"" says Richard Murray, a University of Houston political scientist.']",['Richard Murray'],University of Houston
0,513,663,"['""It feels like coronavirus is everywhere and it feels like we have very little to protect ourselves from getting very sick ourselves as healthcare workers,"" Dr. Cornelia Griggs, a pediatric surgery fellow at Columbia University, said Monday.']",['Cornelia Griggs'],Columbia University
0,535,699,"['""The United States has long been committed to finding a solution to the man-made crisis in Venezuela,"" Secretary of State Mike Pompeo said in a statement.']",['Mike Pompeo'],Pennsylvania State University
0,585,782,"['""Usually viruses from one animal really don\'t effectively transmit to other animal species or even to people,"" said Dr. John Williams, chief of the division of pediatric infectious diseases at the University of Pittsburgh Medical Center Children\'s Hospital of Pittsburgh.']",['John Williams'],University of Pittsburgh
0,612,814,"['""It feels like coronavirus is everywhere and it feels like we have very little to protect ourselves from getting very sick ourselves as healthcare workers"" Dr. Cornelia Griggs, a Pediatric Surgery Fellow at Columbia University said Monday.']",['Cornelia Griggs'],Columbia University
0,614,816,"['said Brian Schutte, an associate professor of microbiology and molecular genetics at Michigan State University, whose research centers on identifying genetic factors associated with cleft lip and palate.']",['Brian Schutte'],Michigan State University
0,618,831,"['It was so much about learning with his feet, with his heart, with his intuition, with his gut,"" said Jeffrey Helmreich, who is a professor at the University of California, Irvine.']",['Jeffrey Helmreich'],"University of California, Irvine"
0,634,853,"['""There might be outlying cases that get a lot of media attention, but our analysis very clearly shows that at aged 50 and over, hospitalisation is much more likely than in those under 50, and a greater proportion of cases are likely to be fatal,"" said Azra Ghani, a professor at Imperial College London and an author of the study, in a statement.']",['Azra Ghani'],Imperial College London
0,652,871,"['""It\'s unfortunate here that the pastor is hiding behind the first amendment,"" State Attorney Andrew H. Warren said at Monday\'s news conference.']",['Andrew H. Warren'],Pennsylvania State University
0,691,916,"['""Their basic drawback is their relatively low efficiency,"" said Anne Grete Hestnes, a professor of architecture at the Norwegian University of Science and Technology who specializes in solar energy.']",['Anne Grete Hestnes'],Norwegian University of Science and Technology
0,692,919,"['""This is a place where politicians get together to pass laws, where the central administrative apparatus of the country are generally located,"" says Gordon, a professor of urban planning at Queen\'s University at Kingston, Ontario.']",['Gordon'],Queen’s University
0,701,928,"['UK coronavirus outbreak showing signs of slowing, according to an epidemiologist: The coronavirus outbreak in the UK is showing early signs of slowing, according to Neil Ferguson, a professor of mathematical biology at Imperial College London, who said the development of an antibody test will be “critical” to getting more accurate data on the extent of the outbreak.']",['Neil Ferguson'],Imperial College London
0,705,932,"[""But it might not matter for newcomers\n\nTravelers who are comfortable with cruising will find very low prices as cruise lines restart service, said Christopher Anderson, professor of business at Cornell University's Hotel School in Ithaca, New York.""]",['Christopher Anderson'],Cornell University
0,706,933,"['""These devices will help to save lives by ensuring that ventilators, a limited resource, are used only for the most severely ill,"" said professor Mervyn Singer, a critical care consultant at University College London Hospitals (UCLH).']",['Mervyn Singer'],University College London
0,714,941,"[""The abrupt changes to the procedures for fresh graduates entering the workforce, marks a major shakeup of Italy's education system, said Dr. Alessandro Grimaldi, Director of Infectious Disease at S.S. Salvatore Hospital of L'Aquila.""]",['Alessandro Grimaldi'],Paris-Sud University
0,738,968,"['The President has stuck to that strategy even as some of his closest allies, including Secretary of State Mike Pompeo, continue to charge that Beijing failed to identify, stop or warn about the virus early on, several sources said.']",['Mike Pompeo'],Pennsylvania State University
0,778,1013,"['""Vote-by-mail is much more resilient in times of crisis,"" said former Colorado Secretary of State Wayne Williams, a Republican who oversaw several statewide elections with near-universal postal voting.']",['Wayne Williams'],Pennsylvania State University
0,782,1017,"['Lynne Tirrell, an associate professor of philosophy at the University of Connecticut, said terms like ""Chinese virus"" could result in consequences that go beyond just words.']",['Lynne Tirrell'],University of Connecticut
0,792,1028,"[""And the eggs aren't only useful for flu vaccines -- they could potentially be used to develop vaccines for other illnesses, said Leo Poon, head of public health laboratory sciences at Hong Kong University (HKU).""]",['Leo Poon'],University of Hong Kong
0,793,1029,"[""Why the egg method won't work for a coronavirus vaccine\n\nAs the coronavirus pandemic spreads, scientists and governments around the world are racing to develop a vaccine -- but eggs won't be the answer, said John Nicholls, a Hong Kong University clinical professor of pathology.""]",['John Nicholls'],University of Hong Kong
0,797,1033,"['Dr. Steven Choi, chief quality officer for the Yale School of Medicine and the Yale New Haven Health system, said that diseases like coronavirus put unusual pressure on ventilator resources.']",['Steven Choi'],Yale University
0,799,1036,"['Will Coleman, Alto\'s founder and CEO, said business was suddenly hurting, and badly, as ""people were starting to heed the warnings here in Dallas.""']",['Will Coleman'],Aalto University
0,814,1061,"['Tufts University School of Medicine, University of Massachusetts Medical School, Boston University School of Medicine and Harvard Medical School are all contemplating the idea, said Massachusetts HHS Secretary Marylou Sudders on Thursday.']",['Marylou Sudders'],Tufts University
0,832,1081,"['""It is the perfect storm for someone who wants to isolate or hurt their partners,"" said Val Kalei Kanuha, assistant dean of Diversity, Equity and Inclusion at the University of Washington\'s School of Social Work.']",['Val Kalei Kanuha'],University of Washington
0,836,1085,"['Not likely, said Joel Kaplan, an associate dean for professional graduate studies and professor of magazine, newspaper and digital journalism at Syracuse University.']",['Joel Kaplan'],Syracuse University
0,847,1096,"['In her order, Nathan lambasted ICE, which she said has ""not taken any action to address"" how the virus will impact high risk immigrants in detention.']",['Nathan'],Rice University
0,853,1102,"['And not with words, with real actions,"" said Donna Green, associate professor at University of New South Wales\'s Climate Change Research Centre.']",['Donna Green'],University of New South Wales
0,861,1111,"['As part of its partnership with GE Healthcare, Ford is helping to design a new, simple ventilator that would be relatively easy to produce, Baumbick said.']",['Baumbick'],University of Oxford
0,887,1141,"['What the virus does to your lungs\n\n""I want people to see this and understand what this can do,"" said Dr. Keith Mortman, the chief of thoracic surgery at George Washington University Hospital, which has released 3D video of a coronavirus patient\'s lungs .']",['Keith Mortman'],George Washington University
0,891,1149,"['As we see a rapidly increasing number of cases of the coronavirus in Nigeria and Africa, the private sector has to work hand in hand with various Governments, in stemming the spread of the global pandemic,"" Tony Elumelu, UBA Chairman said in the statement.']",['Tony Elumelu'],University of Tsukuba
0,965,1235,"['""A lot of it is symbolic,"" Itay Goldstein, professor of finance University of Pennsylvania\'s Wharton School, said.']",['Itay Goldstein'],University of Pennsylvania
0,967,1237,"['Coronavirus also hit at the same time most companies are calculating yearly bonuses for executives and other staff from the prior year, making it a particularly awkward time to lay off employees, said Eric Talley, professor of law and faculty director of the Millstein Center at Columbia University.']",['Eric Talley'],Columbia University
0,984,1267,"['""I\'m sure that this virus is just about everywhere,"" said Dr. William Schaffner, an infectious diseases professor at Vanderbilt University Medical Center.']",['William Schaffner'],Vanderbilt University
0,999,1288,['said Michos of Johns Hopkins.'],['Michos'],Johns Hopkins University
0,1002,1291,"['""They\'re going to existing suppliers first, then if they run out, they go to other providers,"" said Jerry McGinn, a government contracting expert at George Mason University.']",['Jerry McGinn'],George Mason University
0,1005,1295,"['In addition to more help, Dr. William Schaffner, a professor in the division of infectious diseases at Vanderbilt University Medical Center, said health officials need more information.']",['William Schaffner'],Vanderbilt University
0,1013,1305,"['""Music is alive, but it becomes more alive when you\'ve got the audience\'s energy coming back at you,"" said Drew Irvin, ASO\'s co-concertmaster, who came up with the idea.']",['Drew Irvin'],George Mason University
0,1033,1328,"['""The reality is that what we\'re seeing right now in our emergency rooms is dire,"" said Dr. Craig Spencer, director of global health in emergency medicine at NewYork-Presbyterian/Columbia University Medical Center in New York City.']",['Craig Spencer'],Columbia University
0,1047,1343,"['""I don\'t think that we are ready this time, but hopefully with our collective efforts we can be more ready next time,"" said Guang-Zhong Yang, founding editor of Science Robotics, one of the authors of the editorial and dean of the Institute of Medical Robotics at Shanghai Jiao Tong University.']",['Guang-Zhong Yang'],Shanghai Jiao Tong University
0,1048,1344,"['""One of them is as simple as delivering needles,"" said Howie Choset, an editor of Science Robotics, author on the editorial and professor in the Robotics Institute at Carnegie Mellon University.']",['Howie Choset'],Carnegie Mellon University
0,1052,1349,"['""He was Tea Party before the Tea Party even really existed,"" said Mark Jones, a political science professor at Rice University in Houston.']",['Mark Jones'],Rice University
0,1067,1365,"['""Household debt is at an all-time high,"" said Michael J. Graetz, a law professor at Columbia University and co-author of ""The Wolf at the Door: The Menace of Economic Insecurity and How to Fight It.']",['Michael J. Graetz'],Columbia University
0,1089,1391,"['Dr. William Schaffner, an infectious disease specialist at Vanderbilt University, said the peak might take three more weeks.']",['William Schaffner'],Vanderbilt University
0,1090,1392,"['Dr. Arnold Monto, a professor of epidemiology at the University of Michigan School of Public Health, said by email: ""I agree that by 3 weeks, we will have a better idea of what is going to happen going forward.']",['Arnold Monto'],University of Michigan
0,1103,1412,"['""Know who your neighbors are, even what your neighborhood social network might be,"" said Radesky, an assistant professor of pediatrics at the University of Michigan.']",['Radesky'],University of Michigan
0,1112,1422,"['Fortunately, children are not developing severe symptoms , said Dr. Arthur Reingold, an epidemiologist at the University of California at Berkeley.']",['Arthur Reingold'],"University of California, Berkeley"
0,1115,1425,"[""Dr.\xa0Alex Greninger,\xa0an\xa0assistant professor\xa0at the University of Washington's Department of Laboratory Medicine,\xa0said unprecedented demand is the driving factor of such wait times for\xa0test\xa0results.""]",['Alex Greninger'],University of Washington
0,1116,1426,"['""To some extent, Westport is a cautionary tale, or a harbinger of what\'s to come,"" Connecticut State Senator Will Haskell said.']",['Will Haskell'],Pennsylvania State University
0,1130,1449,['Republican Sen. Marco Rubio of Florida said agreeing on legislative text can be a long and arduous process.'],['Marco Rubio'],Sun Yat-sen University
0,1150,1470,"[""CNN medical analyst Dr. Art Caplan, the founding head of the Division of Medical Ethics at New York University's School of Medicine, said New Rochelle was an example of the effectiveness of tough containment measures.""]",['Art Caplan'],New York University
0,1161,1486,"['""When we look at the data what we\'re seeing is that in every country with sex-disaggregated data ... there is between a 10% and 90% higher rate of mortality amongst people diagnosed with Covid if they are men compared to if they are women,"" says Sarah Hawkes, professor of global public health at University College London (UCL) and co-director of Global Health 50/50.']",['Sarah Hawkes'],University College London
0,1181,1507,['Harvard President Lawrence S. Bacow said he and his wife have tested positive for coronavirus.'],['Lawrence S. Bacow'],Harvard University
0,1199,1532,"['When someone coughs or sneezes, small drops of liquid spray from their nose or mouthIf you\'re standing too close, you can breathe in the droplets, which may contain the coronavirus if the person coughing is infected, according to the World Health Organization\n\nThe ""6 feet of distance"" rule comes from studies of respiratory physiology, said Dr. William Schaffner, infectious disease expert at Vanderbilt University.']",['William Schaffner'],Vanderbilt University
0,1200,1533,"['""I think within our own households we have to essentially do the best that we can,"" said Allison Chamberlain, a research assistant epidemiology professor in epidemiology at Emory University\'s Rollins School of Public Health.']",['Allison Chamberlain'],Emory University
0,1214,1555,"['The decision about whether you can safely venture out of the house, never mind the country, will come when we\'ve managed to ""stamp out transmission"" of COVID-19, says Kumi Smith, an assistant professor of epidemiology at the University of Minnesota.']",['Kumi Smith'],University of Minnesota
0,1218,1562,"['""Because local officials and factories know that they would be punished severely by the government for allowing new infections to spread, they have played it safe by delaying the resumption of [real] economic activities,"" said Victor Shih, an associate professor at\xa0the University of California at San Diego and the author of ""Economic Shocks and Authoritarian Stability.""']",['Victor Shih'],"University of California, San Diego"
0,1220,1564,"['""The Chinese are resuming some large infrastructure\xa0projects which are largely funded by the state,"" said Xiaobo Lü, a professor of political science at Barnard College at Columbia University, who added that sectors served by those projects are fairly easy to restart and can absorb idle labor.']",['Xiaobo Lü'],Columbia University
0,1232,1581,"['""I\'d think on a theoretical basis, they should provide protection because they give you a physical barrier to protect the nose and the mouth,"" MacIntyre, who is head of the biosecurity program at the Kirby Institute University of New South Wales, said.']",['MacIntyre'],University of New South Wales
0,1233,1582,"['""There are four coronaviruses that circulate in humans regularly, almost every year,"" said virologist Dr. John Williams, chief of the division of pediatric infectious diseases at the University of Pittsburgh Medical Center Children\'s Hospital of Pittsburgh.']",['John Williams'],University of Pittsburgh
0,1234,1583,"['""All those bubbles and foam ... literally pick germs up and wash them down the drain,"" said Dr. William Schaffner, a professor of preventative medicine and infectious disease at Vanderbilt University School of Medicine in Nashville.']",['William Schaffner'],Vanderbilt University
0,1235,1584,"['""Cold water will work, but you have to make sure you work really vigorously to get a lather and get everything soapy and bubbly,"" said chemist Bill Wuest, an associate professor at Emory University who studies disinfectants.']",['Bill Wuest'],Emory University
0,1258,1612,"['Rhode Island Secretary of State Nellie Gorbea said in a statement, ""A predominantly mail ballot election will ensure that all eligible Rhode Islanders can cast a ballot in a safe and secure manner while protecting the integrity of every vote.']",['Nellie Gorbea'],Pennsylvania State University
0,1297,1654,"['""These retail companies are trying to incentivize workers to come to work,"" said Patricia Campos-Medina, co-director of the New York State AFL-CIO/Cornell Union Leadership Institute at Cornell University\'s ILR School and a former SEIU official.']",['Patricia Campos-Medina'],Cornell University
0,1321,1680,['Democratic Sen. Amy Klobuchar said her husband has tested positive for coronavirus.'],['Amy Klobuchar'],Sun Yat-sen University
0,1323,1686,"['""To \'flatten the curve\' people should be staying home, practicing social-distancing and avoiding all nonessential travel,"" said Dr. Geoffrey Gottlieb, who specializes in infectious diseases at the University of Washington School of Medicine in Seattle.']",['Geoffrey Gottlieb'],University of Washington
0,1325,1688,"['""If you\'re going for vacation, I would suggest you don\'t go,"" says Danielle Ompad, an associate professor at New York University\'s School of Global Public Health.']",['Danielle Ompad'],New York University
0,1326,1689,"['""These can be unpredictable and implemented during travel, so US travelers face a high risk of travel disruption, and might even have difficulty returning home,"" said Dr. Henry Wu, assistant professor and senior physician at the Emory University School of Medicine and director of the Emory TravelWell Center in Atlanta.']",['Henry Wu'],Emory University
0,1335,1708,"['Typically, our culture is one that supports extroversion -- many introverts may even ""fake it as if they\'re more extroverted sometimes because society does value extroverts,"" said psychologist Vivian Zayas, associate professor of psychology and director of undergraduate studies at Cornell University.']",['Vivian Zayas'],Cornell University
0,1336,1709,"['Above all, use this time to figure out what will keep your mental health and well-being optimal, said Dr. Amalia Londoño Tobón, a clinical fellow in the Yale Child Study Center at Yale University.']",['Amalia Londoño Tobón'],Yale University
0,1337,1710,"[""Even with social distancing, it's still important to to go for walks, take a bike ride or hang out near your neighbors, said Dr. Don Dizon, a professor of medicine at Brown University.""]",['Don Dizon'],Brown University
0,1340,1713,"[""Marshall Burke , an assistant professor at Stanford's Department of Earth System Science, said the better air quality could have saved between 50,000 and 75,000 people from dying prematurely.""]",['Marshall Burke'],Stanford University
0,1368,1752,"['Joe Amon, director of global health at Drexel University and a clinical professor of community health and prevention, said the statement is ""definitively"" false.']",['Joe Amon'],Drexel University
0,1375,1759,"['""For the time being, we really do need to exclude all visitors, including partners, for women admitted in labor,"" Dr. Dena Goffman, chief of obstetrics at Columbia University Medical Center, said Sunday during a daily leadership briefing for the NewYork-Presbyterian health care system.']",['Dena Goffman'],Columbia University
0,1393,1782,"['There\'s a certain point where you go stir crazy,"" says Dr. Daniel Griffin, an infectious disease specialist at Columbia University Medical Center.']",['Daniel Griffin'],Columbia University
0,1398,1787,"['""I really liked the campus -- and I think that\'s a good sign if I liked it even when no one was there,"" said Devine, who\'s still trying to decide between the University of Rhode Island and the University of Delaware, which she\'s visited before.']",['Devine'],University of Delaware
0,1401,1790,"['She had an absolute panic attack because she felt like she was in the book,"" says Beal, a religion professor at Case Western Reserve University in Ohio.']",['Beal'],Case Western Reserve University
0,1403,1792,"['""We don\'t have that ability now to have social connection as a stress reliever,"" said Elizabeth Phelps, a professor of human neuroscience at Harvard who was teaching at NYU on 9/11.']",['Elizabeth Phelps'],Harvard University
0,1404,1793,"['Lila Davachi, a psychology professor at Columbia University, said turning from real face time to FaceTime is crucial at a time when having a cocktail at a crowded bar could prove deadly.']",['Lila Davachi'],Columbia University
0,1405,1794,"['Tributes to victims of the pandemic and their stories will come with time, said Jean Twenge, a psychology professor at San Diego State University.']",['Jean Twenge'],San Diego State University
0,1439,1840,"['To combat a possible shortage, Georgia officials are moving to expedite licensing for nursing professionals who come in from other states to help stem the spread of the virus, Secretary of State Brad Raffensperger said.']",['Brad Raffensperger'],Pennsylvania State University
0,1464,1868,"[""Dr. Alex Greninger, an assistant professor at the University of Washington's Department of Laboratory Medicine and one of the letter's signatories, said the emergency-use authorization process in place in February would have taken weeks for clinical labs and others to clear.""]",['Alex Greninger'],University of Washington
0,1470,1874,"['That\'s a huge concern,"" said Steve Viscelli, a University of Pennsylvania sociologist who studies the trucking industry.']",['Steve Viscelli'],University of Pennsylvania
0,1471,1875,"['""It makes sense that there will need to be some changes in rest and truck stop operations,"" said Stephen Burks, an economics professor at the University of Minnesota, Morris, who spent a decade driving tractor trailers before becoming an academic.']",['Stephen Burks'],University of Minnesota
0,1473,1877,"['Eliza Ewing, a Princeton University senior who is working on a thesis in ecology and evolutionary biology, said that at Princeton they refer to the last few months of senior year after theses are submitted as ""PTO,"" or personal time off.']",['Eliza Ewing'],Princeton University
0,1484,1888,"[""Although living like that can be lonely, inconvenient and even frightening, it's for the greater good, says Danielle Ompad, an associate professor at New York University's School of Global Public Health.""]",['Danielle Ompad'],New York University
0,1493,1897,"['To combat a possible shortage in Georgia, Secretary of State Brad Raffensperger said he was taking action to expedite licensing for nursing professionals who come in from other states to help fight the spread of the virus.']",['Brad Raffensperger'],Pennsylvania State University
0,1496,1900,"['The Internet can be a great resource, particularly for cooking videos, said Debbie Petitpain, a registered dietitian who teaches a culinary class to medical students at the Medical University of South Carolina.']",['Debbie Petitpain'],University of South Carolina
0,1503,1907,"['""ICE is committed to ensuring the welfare of all those in the agency\'s custody, including providing access to necessary and appropriate medical care,"" ICE spokeswoman Danielle Bennett said in a statement sent to CNN earlier this week, noting that the agency spends more than $269 million annually on detainee healthcare.']",['Danielle Bennett'],Rice University
0,1517,1926,"['I think the idea that we\'re going to give this virus to our pets or we\'re going to get it from them is just nonsense,"" said Dr. John Williams, chief of the division of pediatric infectious diseases at the University of Pittsburgh Medical Center Children\'s Hospital of Pittsburgh.']",['John Williams'],University of Pittsburgh
0,1518,1927,"['""I\'m going to debunk that also,"" said infectious disease expert Dr. William Schaffner, a professor of preventative medicine and infectious disease at Vanderbilt University School of Medicine in Nashville.']",['William Schaffner'],Vanderbilt University
0,1532,1944,"['What coronavirus means for tens of thousands of people in ICE custody Wolf said Friday migrants who cross unlawfully and have improper documentation will be ""immediately"" returned to Mexico, Canada ""as well as a number of other countries.""']",['Wolf'],Rice University
0,1539,1952,['Secretary of State Mike Pompeo would not say whether the US would use the military to get citizens home.'],['Mike Pompeo'],Pennsylvania State University
0,1541,1954,"['Indiana Secretary of State Connie Lawson said in a statement that ""above all else, it is my duty to protect the health and safety of Hoosiers.""']",['Connie Lawson'],Pennsylvania State University
0,1556,1970,"['In embassies overseas, foreign service officers say Secretary of State Mike Pompeo and his leadership team are not issuing clear guidance on how to manage their staff, handle travel or deal with public interactions -- particularly in hard hit countries -- as the virus sweeps the globe.']",['Mike Pompeo'],Pennsylvania State University
0,1557,1971,"['Referring to the secretary\'s possible political ambitions, this officer said the general feeling is that, ""Pompeo does not care because he is a political animal and he does not like us... No one votes on how State people are treated.""']",['Pompeo'],Pennsylvania State University
0,1570,1988,"['The main list of acute symptoms at this time is actually quite short andcan appear anywhere from two to 14 days after exposure to the virus, according to the US Centers for Disease Control and Prevention\n\n""We\'re emphasizing fever plus a notable lower respiratory tract symptom -- cough or trouble breathing,"" said infectious disease expert Dr. William Schaffner, a professor of preventative medicine and infectious disease at Vanderbilt University School of Medicine in Nashville.']",['William Schaffner'],Vanderbilt University
0,1571,1989,"['Average daily temperature is 98.6 degrees Fahrenheit (37 degrees Celsius), but we all actually go up and down quite a bit during the day as much as half of a degree or a degree,"" said Dr. John Williams, chief of the division of pediatric infectious diseases at the University of Pittsburgh Medical Center Children\'s Hospital of Pittsburgh.']",['John Williams'],University of Pittsburgh
